allsides_media_bias_ratings/publication/source_name,allsides_media_bias_ratings/publication/source_type,allsides_media_bias_ratings/publication/media_bias_rating,allsides_media_bias_ratings/publication/source_url,allsides_media_bias_ratings/publication/allsides_url
Daily Progress,News Media,Center,http://www.dailyprogress.com,https://www.allsides.com/news-source/daily-progress
Daily Targum,News Media,Lean Left,http://www.dailytargum.com/,https://www.allsides.com/news-source/daily-targum
DailyTrib.com,News Media,Center,https://www.dailytrib.com/,https://www.allsides.com/news-source/dailytribcom-media-bias
Data for Progress,Think Tank / Policy Group,Left,,https://www.allsides.com/news-source/data-progress-media-bias
Dayton Daily News,News Media,Center,https://www.daytondailynews.com/,https://www.allsides.com/news-source/dayton-daily-news-media-bias
DCist,News Media,Center,https://dcist.com/,https://www.allsides.com/news-source/dcist-media-bias
Deadline,News Media,Center,https://deadline.com/,https://www.allsides.com/news-source/deadline-media-bias
Debate.org,Dialogue & Debate,Mixed,https://www.debate.org/,https://www.allsides.com/news-source/debateorg-media-bias
Defense One,News Media,Center,https://www.defenseone.com/,https://www.allsides.com/news-source/defense-one-media-bias
Delaware State News,News Media,Center,https://baytobaynews.com/delaware/,https://www.allsides.com/news-source/delaware-state-news-media-bias
Delta Democrat Times,News Media,Center,https://www.ddtonline.com/,https://www.allsides.com/news-source/delta-democrat-times-media-bias
Democracy Now!,News Media,Left,http://www.democracynow.org/,https://www.allsides.com/news-source/democracy-now
Democrat and Chronicle,News Media,Center,https://www.democratandchronicle.com/,https://www.allsides.com/news-source/democrat-and-chronicle-media-bias
Democratic Party,Think Tank / Policy Group,Lean Left,https://democrats.org/,https://www.allsides.com/news-source/democratic-party
Derry News,News Media,Center,https://www.derrynews.com/,https://www.allsides.com/news-source/derry-news
Des Moines Register,News Media,Center,http://desmoinesregister.com/,https://www.allsides.com/news-source/desmoines-register
Deseret News,News Media,Center,https://www.deseret.com/,https://www.allsides.com/news-source/deseret-news
Desiring God,News Media,Lean Right,https://www.desiringgod.org/,https://www.allsides.com/news-source/desiring-god-media-bias
DeSmog,News Media,Lean Left,https://www.desmog.com/,https://www.allsides.com/news-source/desmog-media-bias
DetectFakeNews.com,Reference,Center,https://faculty.lsu.edu/fakenews/index.php,https://www.allsides.com/news-source/detectfakenewscom-media-bias
Detroit Free Press,News Media,Lean Left,http://www.freep.com/,https://www.allsides.com/news-source/detroit-free-press
Detroit Lakes Tribune,News Media,Center,https://www.dl-online.com/,https://www.allsides.com/news-source/detroit-lakes-tribune-media-bias
Detroit News,News Media,Center,http://www.detroitnews.com/,https://www.allsides.com/news-source/detroit-news
Deutsche Welle,News Media,Center,https://www.dw.com/,https://www.allsides.com/news-source/deutsche-welle-media-bias
Diplomatic Courier,News Media,Center,http://www.diplomaticourier.com/,https://www.allsides.com/news-source/diplomatic-courier
DiversityInc,Reference,Lean Left,https://www.diversityinc.com/,https://www.allsides.com/news-source/diversityinc-media-bias
Divided We Fall,News Media,Mixed,https://dividedwefall.org/,https://www.allsides.com/news-source/divided-we-fall-media-bias
Drudge Report,News Media,Lean Right,http://www.drudgereport.com/,https://www.allsides.com/news-source/drudge-report
Duke Chronicle,News Media,Center,http://www.dukechronicle.com/,https://www.allsides.com/news-source/duke-chronicle
East Bay Times,News Media,Lean Left,http://www.eastbaytimes.com/,https://www.allsides.com/news-source/east-bay-times
East Oregonian,News Media,Center,https://eastoregonian.com,https://www.allsides.com/news-source/east-oregonian-media-bias
Ebony,News Media,Left,https://www.ebony.com/,https://www.allsides.com/news-source/ebony-media-bias
Economic Policy Institute,Think Tank / Policy Group,Left,http://www.epi.org/,https://www.allsides.com/news-source/economic-policy-institute
Economic Strategy Institute,,Lean Left,,https://www.allsides.com/news-source/economic-strategy-institute
Eden Prairie Local News,News Media,Center,https://www.eplocalnews.org/,https://www.allsides.com/news-source/eden-prairie-local-news-media-bias
Education Week,News Media,Center,http://edweek.org,https://www.allsides.com/news-source/education-week
EdVotes.org,Think Tank / Policy Group,Left,http://educationvotes.nea.org,https://www.allsides.com/news-source/edvotesorg
El Paso Times,News Media,Center,https://www.elpasotimes.com/,https://www.allsides.com/news-source/el-paso-times-media-bias
Electronic Privacy Information Center,,Center,,https://www.allsides.com/news-source/electronic-privacy-information-center
Elle Magazine,News Media,Lean Left,https://www.elle.com/,https://www.allsides.com/news-source/elle-magazine-media-bias
Employee Benefit Research Institute,,Center,,https://www.allsides.com/news-source/employee-benefit-research-institute
Emporia Gazette,News Media,Center,http://www.emporiagazette.com/,https://www.allsides.com/news-source/emporia-gazette-media-bias
Environmental Defense Fund,Think Tank / Policy Group,Lean Left,http://www.edf.org,https://www.allsides.com/news-source/environmental-defense-fund
Erie Gay News,News Media,Lean Left,https://www.eriegaynews.com/,https://www.allsides.com/news-source/erie-gay-news-media-bias
Erraticus,News Media,Center,https://erraticus.co/,https://www.allsides.com/news-source/erraticus-media-bias
ESPN.com,News Media,Lean Left,https://www.espn.com/,https://www.allsides.com/news-source/espn
Esquire,News Media,Left,https://www.esquire.com/,https://www.allsides.com/news-source/esquire
Estes Park Trail Gazette,News Media,Center,http://www.eptrail.com/,https://www.allsides.com/news-source/estes-park-trail-gazette
Eurek Alert,News Media,Center,http://www.eurekalert.org/,https://www.allsides.com/news-source/eurek-alert
Evansville Courier & Press,News Media,Center,https://www.courierpress.com/,https://www.allsides.com/news-source/evansville-courier-press-media-bias
Evie Magazine,News Media,Lean Right,https://www.eviemagazine.com/,https://www.allsides.com/news-source/evie-magazine-media-bias
Face the Facts USA,Reference,Center,,https://www.allsides.com/news-source/face-facts-usa
Fact Check Review (RealClearPolitics),Fact Check,Center,https://www.realclearpolitics.com/fact_check_review/,https://www.allsides.com/news-source/fact-check-review-realclearpolitics-media-bias
FactCheck.org,Fact Check,Center,http://factcheck.org/,https://www.allsides.com/news-source/factcheckorg-media-bias
FAIR,News Media,Lean Left,http://fair.org/,https://www.allsides.com/news-source/fair-media-bias
Fairmont Sentinel,News Media,Center,https://www.fairmontsentinel.com/,https://www.allsides.com/news-source/fairmont-sentinel-media-bias
Falls Church News - Press,News Media,Left,http://www.fcnp.com,https://www.allsides.com/news-source/falls-church-news-press
Family Research Council,Think Tank / Policy Group,Lean Right,,https://www.allsides.com/news-source/family-research-council
Federation of American Scientists,Think Tank / Policy Group,Lean Left,https://fas.org/,https://www.allsides.com/news-source/federation-american-scientists
FEE.org,Think Tank / Policy Group,Lean Right,https://fee.org/,https://www.allsides.com/news-source/feeorg-media-bias
Financial Times,News Media,Center,https://www.ft.com/,https://www.allsides.com/news-source/financial-times-media-bias
First Draft News,Reference,Center,https://firstdraftnews.org/,https://www.allsides.com/news-source/first-draft-media-bias
Fiscal Times,News Media,Lean Right,http://www.thefiscaltimes.com/,https://www.allsides.com/news-source/fiscal-times
FiveThirtyEight,News Media,Center,http://fivethirtyeight.com/,https://www.allsides.com/news-source/fivethirtyeight-0
Florida Politics,News Media,Center,https://floridapolitics.com/,https://www.allsides.com/news-source/florida-politics-media-bias
Floyd County Chronicle & Times,News Media,Center,https://www.floydct.com/,https://www.allsides.com/news-source/floyd-county-chronicle-times-media-bias
Food Democracy Now,Think Tank / Policy Group,Lean Left,http://www.fooddemocracynow.org/blog/,https://www.allsides.com/news-source/food-democracy-now
Forbes,News Media,Center,http://www.forbes.com/,https://www.allsides.com/news-source/forbes
Foreign Affairs,News Media,Center,https://www.foreignaffairs.com,https://www.allsides.com/news-source/foreign-affairs
Foreign Policy,News Media,Center,https://foreignpolicy.com/,https://www.allsides.com/news-source/foreign-policy-media-bias
Fort Worth Star-Telegram,News Media,Center,https://www.star-telegram.com/,https://www.allsides.com/news-source/fort-worth-star-telegram-media-bias
Fortune,News Media,Center,https://www.fortune.com,https://www.allsides.com/news-source/fortune
Forward,Think Tank / Policy Group,Center,https://www.forwardparty.com/,https://www.allsides.com/news-source/forward-media-bias
Foundation Against Intolerance and Racism,Think Tank / Policy Group,Center,https://www.fairforall.org/,https://www.allsides.com/news-source/foundation-against-intolerance-and-racism-media-bias
Fox Business,News Media,Lean Right,https://www.foxbusiness.com/,https://www.allsides.com/news-source/fox-business-media-bias
Fox News (Online News),News Media,Right,http://www.foxnews.com/,https://www.allsides.com/news-source/fox-news-media-bias
Fox News (Opinion),News Media,Right,http://www.foxnews.com/opinion.html,https://www.allsides.com/news-source/fox-news-editorial-media-bias
Fox News Latino,News Media,Right,http://latino.foxnews.com/index.html,https://www.allsides.com/news-source/fox-news-latino
Fox21,News Media,Center,https://www.fox21online.com/,https://www.allsides.com/news-source/fox21-media-bias
Fox9,News Media,Center,https://www.fox9.com/,https://www.allsides.com/news-source/fox9-media-bias
Franklin Favorite,News Media,Center,https://www.franklinfavorite.com/,https://www.allsides.com/news-source/franklin-favorite-media-bias
Freakonomics,Think Tank / Policy Group,Center,http://freakonomics.com,https://www.allsides.com/news-source/freakonomics
Frederick News-Post,News Media,Center,https://www.fredericknewspost.com/,https://www.allsides.com/news-source/frederick-news-post-media-bias
Free Beacon Fact Check,Fact Check,Right,https://freebeacon.com/fact-check/,https://www.allsides.com/news-source/free-beacon-fact-check-media-bias
Free Press,Think Tank / Policy Group,Left,https://www.freepress.net/,https://www.allsides.com/news-source/free-press-media-bias
Freedom House,Think Tank / Policy Group,Lean Right,https://freedomhouse.org/,https://www.allsides.com/news-source/freedom-house
FrontPage Magazine,News Media,Right,http://frontpagemag.com/,https://www.allsides.com/news-source/frontpage-magazine
Gainesville Sun,News Media,Center,https://www.gainesville.com/,https://www.allsides.com/news-source/gainesville-sun-media-bias
Gallatin News,News Media,Center,https://www.gallatinnews.com/,https://www.allsides.com/news-source/gallatin-news-media-bias
Gallup,Reference,Center,https://www.gallup.com/home.aspx,https://www.allsides.com/news-source/gallup
Gay City News,News Media,Lean Left,https://gaycitynews.com/,https://www.allsides.com/news-source/gay-city-news-media-bias
Gay Times,News Media,Lean Left,https://www.gaytimes.co.uk/,https://www.allsides.com/news-source/gay-times-media-bias
GayBuzzer,News Media,Center,https://www.gaybuzzer.com/,https://www.allsides.com/news-source/gaybuzzer-media-bias
GayNewsToday,News Media,Left,https://www.gaynewstoday.com,https://www.allsides.com/news-source/gaynewstoday-media-bias
GayStarNews,News Media,Left,https://www.gaystarnews.com/,https://www.allsides.com/news-source/gaystarnews-media-bias
Gell,Think Tank / Policy Group,Mixed,https://www.gell.com,https://www.allsides.com/news-source/gell-media-bias
Georgia Asian Times,News Media,Center,https://gasiantimes.com/,https://www.allsides.com/news-source/georgia-asian-times-media-bias
Georgia Recorder,News Media,Center,https://georgiarecorder.com/,https://www.allsides.com/news-source/georgia-recorder-media-bias
Georgia Voice,News Media,Left,https://thegavoice.com/,https://www.allsides.com/news-source/georgia-voice-media-bias
Gillette News Record,News Media,Center,https://www.gillettenewsrecord.com/,https://www.allsides.com/news-source/gillette-news-record-media-bias
Gizmodo,News Media,Lean Left,http://gizmodo.com,https://www.allsides.com/news-source/gizmodo
GLAAD,News Media,Lean Left,https://www.glaad.org/,https://www.allsides.com/news-source/glaad-media-bias
GLAAD,Think Tank / Policy Group,Left,https://www.glaad.org/,https://www.allsides.com/news-source/glaad-media-bias-0
Global Disinformation Index ,Think Tank / Policy Group,Left,https://disinformationindex.org/,https://www.allsides.com/news-source/global-disinformation-index-media-bias
Global News,News Media,Lean Left,https://globalnews.ca/,https://www.allsides.com/news-source/global-news-media-bias
GoLocal Providence,News Media,Center,https://www.golocalprov.com/,https://www.allsides.com/news-source/golocal-providence-media-bias
Good Faith Media,News Media,Lean Left,https://goodfaithmedia.org/,https://www.allsides.com/news-source/good-faith-media-media-bias
Good News Magazine,News Media,Lean Right,https://goodnewsmag.org/,https://www.allsides.com/news-source/good-news-magazine-media-bias
Google News,News Media,Lean Left,https://news.google.com/,https://www.allsides.com/news-source/google-news-media-bias
GOP.gov,Think Tank / Policy Group,Right,https://www.gop.gov/,https://www.allsides.com/news-source/gopgov
Gothamist,News Media,Center,https://gothamist.com/,https://www.allsides.com/news-source/gothamist-media-bias
Govt. Accountability Office,Reference,Center,https://www.gao.gov/,https://www.allsides.com/news-source/government-accountability-office-media-bias
GQ.com,News Media,Lean Left,https://www.gq.com/,https://www.allsides.com/news-source/gqcom-media-bias
Green Bay Press-Gazette,News Media,Center,https://www.greenbaypressgazette.com/,https://www.allsides.com/news-source/green-bay-press-gazette-media-bias
Greenfield Daily Reporter,News Media,Center,https://www.greenfieldreporter.com/,https://www.allsides.com/news-source/greenfield-daily-reporter-media-bias
Greenwich Time,News Media,Center,https://www.greenwichtime.com/,https://www.allsides.com/news-source/greenwich-time-media-bias
Grid,News Media,Lean Left,https://www.grid.news/,https://www.allsides.com/news-source/grid-media-bias
Grist,News Media,Lean Left,https://grist.org/,https://www.allsides.com/news-source/grist
Haaretz,News Media,Center,https://www.haaretz.com/,https://www.allsides.com/news-source/haaretz-media-bias
Hampton Roads Messanger,News Media,Center,http://www.hamptonroadsmessenger.com/,https://www.allsides.com/news-source/hampton-roads-messanger
"Handgun Control, Inc.",,Lean Left,,https://www.allsides.com/news-source/handgun-control-inc
Harrison Daily Times,News Media,Center,https://harrisondaily.com/,https://www.allsides.com/news-source/harrison-daily-times-media-bias
Hartford Courant,News Media,Center,https://www.courant.com/,https://www.allsides.com/news-source/hartford-courant-media-bias
Harvard Business School,News Media,Lean Left,http://hbswk.hbs.edu/,https://www.allsides.com/news-source/harvard-business-school
Hastings Tribune,News Media,Center,https://www.hastingstribune.com/,https://www.allsides.com/news-source/hastings-tribune-media-bias
Hattiesburg American,News Media,Center,https://www.hattiesburgamerican.com/,https://www.allsides.com/news-source/hattiesburg-american-media-bias
Hawaii News Now,News Media,Center,https://www.hawaiinewsnow.com/,https://www.allsides.com/news-source/hawaii-news-now-media-bias
Hawaii Tribune-Herald,News Media,Center,https://www.hawaiitribune-herald.com/,https://www.allsides.com/news-source/hawaii-tribune-herald-media-bias
Healthcare.gov,Think Tank / Policy Group,Lean Left,http://www.healthcare.gov/,https://www.allsides.com/news-source/healthcaregov
Heavy.com,News Media,Center,https://heavy.com/,https://www.allsides.com/news-source/heavycom-media-bias
Herald Democrat,News Media,Left,http://heralddemocrat.com/,https://www.allsides.com/news-source/herald-democrat-0
Herald-Dispatch,News Media,Lean Left,http://www.herald-dispatch.com/,https://www.allsides.com/news-source/herald-dispatch
Herald-Tribune,News Media,Lean Left,https://www.heraldtribune.com/,https://www.allsides.com/news-source/herald-tribune-media-bias
Heterodox Academy,Think Tank / Policy Group,Center,https://heterodoxacademy.org/,https://www.allsides.com/news-source/heterodox-academy-media-bias
High Point Enterprise,News Media,Center,https://www.hpenews.com/,https://www.allsides.com/news-source/high-point-enterprise
High Times,News Media,Lean Left,https://hightimes.com/,https://www.allsides.com/news-source/high-times-media-bias
Hindustan Times,News Media,Center,https://www.hindustantimes.com/,https://www.allsides.com/news-source/hindustan-times-media-bias
Hip Latina,News Media,Left,https://hiplatina.com/,https://www.allsides.com/news-source/hip-latina-media-bias
Hobbs News-Sun,News Media,Center,https://hobbsnews.com,https://www.allsides.com/news-source/hobbs-news-sun-media-bias
Homeland Security Today,News Media,Lean Left,https://www.hstoday.us/,https://www.allsides.com/news-source/homeland-security-today-media-bias
Homer News,News Media,Center,https://www.homernews.com/,https://www.allsides.com/news-source/homer-news-media-bias
Honolulu Civil Beat,News Media,Center,https://www.civilbeat.org/,https://www.allsides.com/news-source/honolulu-civil-beat
Honolulu Star-Advertiser,News Media,Center,https://www.staradvertiser.com/,https://www.allsides.com/news-source/honolulu-star-advertiser-media-bias
Hoover Institution,,Lean Right,,https://www.allsides.com/news-source/hoover-institution
Hot Springs Sentinel-Record,News Media,Center,https://www.hotsr.com/,https://www.allsides.com/news-source/hot-springs-sentinel-record-media-bias
HotAir,News Media,Lean Right,http://hotair.com/,https://www.allsides.com/news-source/hotair
Houston Chronicle,News Media,Center,https://www.houstonchronicle.com/,https://www.allsides.com/news-source/houston-chronicle-media-bias
How Do We Fix It?,Podcast,Center,,https://www.allsides.com/news-source/how-do-we-fix-it
Hudson Institute,,Lean Right,,https://www.allsides.com/news-source/hudson-institute
HuffPost,News Media,Left,https://www.huffpost.com/,https://www.allsides.com/news-source/huffpost-media-bias
Human Events,News Media,Lean Right,https://humanevents.com/,https://www.allsides.com/news-source/human-events-media-bias
Human Rights Campaign,Think Tank / Policy Group,Left,https://www.hrc.org/,https://www.allsides.com/news-source/human-rights-campaign-media-bias
Human Rights Watch,Reference,Center,,https://www.allsides.com/news-source/human-rights-watch-media-bias
Idaho Press,News Media,Center,https://www.idahopress.com/,https://www.allsides.com/news-source/idaho-press-media-bias
Idaho State Journal,News Media,Center,https://www.idahostatejournal.com/,https://www.allsides.com/news-source/idaho-state-journal-media-bias
Idaho Statesman,News Media,Center,http://www.idahostatesman.com/,https://www.allsides.com/news-source/idaho-statesman-media-bias
In the Grey,Video,Left,https://youtube.com/c/GodisGrey,https://www.allsides.com/news-source/grey-media-bias
In This Together,Think Tank / Policy Group,Center,https://inthistogetheramerica.org/,https://www.allsides.com/news-source/together-media-bias
Inacow,News Media,Right,http://www.inacow.com/,https://www.allsides.com/news-source/inacow
IncentFit,News Media,Center,https://incentfit.com/,https://www.allsides.com/news-source/incentfit-media-bias
Independent Institute,Think Tank / Policy Group,Lean Right,http://www.independent.org,https://www.allsides.com/news-source/independent-institute
Independent Journal Review,News Media,Lean Right,https://ijr.com/,https://www.allsides.com/news-source/independent-journal-review
Independent Record,News Media,Center,https://helenair.com/,https://www.allsides.com/news-source/independent-record-media-bias
Indiana Daily Student,News Media,Center,http://www.idsnews.com/,https://www.allsides.com/news-source/indiana-daily-student
Indianapolis Star,News Media,Center,https://www.indystar.com/,https://www.allsides.com/news-source/indianapolis-star-media-bias
Indy Online,News Media,Center,https://www.theindyonline.com/,https://www.allsides.com/news-source/indy-online
Indy Week,News Media,Lean Left,http://www.indyweek.com/,https://www.allsides.com/news-source/indy-week
IndyStar,News Media,Center,http://indystar.com,https://www.allsides.com/news-source/indystar-media-bias
InfoWars,News Media,Right,http://www.infowars.com/,https://www.allsides.com/news-source/infowars
Inland Valley Daily Bulletin,News Media,Center,https://www.dailybulletin.com/,https://www.allsides.com/news-source/inland-valley-daily-bulletin-media-bias
Inside Higher Ed,News Media,Lean Left,https://www.insidehighered.com/,https://www.allsides.com/news-source/inside-higher-ed-media-bias
Inside Philanthropy,News Media,Center,https://www.insidephilanthropy.com/,https://www.allsides.com/news-source/inside-philanthropy
Insider,News Media,Lean Left,https://www.insider.com/,https://www.allsides.com/news-source/insider-media-bias
Institute for Cultural Evolution,Think Tank / Policy Group,Center,https://www.culturalevolution.org/,https://www.allsides.com/news-source/institute-cultural-evolution-media-bias
Institute for International Economics,,Center,,https://www.allsides.com/news-source/institute-international-economics
Intellectual Conservative,News Media,Lean Right,http://intellectualconservative.com,https://www.allsides.com/news-source/intellectual-conservative
International Business Times,News Media,Center,http://www.ibtimes.com/,https://www.allsides.com/news-source/international-business-times
International Institute for Strategic Studies,,Center,,https://www.allsides.com/news-source/international-institute-strategic-studies
Investopedia,News Media,Center,https://www.investopedia.com/,https://www.allsides.com/news-source/investopedia-media-bias
Investor's Business Daily,News Media,Lean Right,http://www.investors.com,https://www.allsides.com/news-source/investors-business-daily
Iowa Capital Dispatch,News Media,Center,https://iowacapitaldispatch.com/,https://www.allsides.com/news-source/iowa-capital-dispatch-media-bias
Ipsos,Reference,Center,https://www.ipsos.com/en-us,https://www.allsides.com/news-source/ipsos-media-bias
Issue One,Think Tank / Policy Group,Center,https://issueone.org/,https://www.allsides.com/news-source/issue-one-media-bias
IVN,News Media,Center,http://www.ivn.us,https://www.allsides.com/news-source/ivn
Jackson Hole News&Guide,News Media,Center,https://www.jhnewsandguide.com/,https://www.allsides.com/news-source/jackson-hole-newsguide-media-bias
Jacobin,News Media,Left,https://jacobinmag.com/,https://www.allsides.com/news-source/jacobin-media-bias
Jamestown Press,News Media,Center,https://www.jamestownpress.com/,https://www.allsides.com/news-source/jamestown-press-media-bias
Jefferson City News Tribune,News Media,Center,https://www.newstribune.com/,https://www.allsides.com/news-source/jefferson-city-news-tribune-media-bias
Jefferson Public Radio,News Media,Center,https://www.ijpr.org/,https://www.allsides.com/news-source/jefferson-public-radio-media-bias
Jewish Insider,News Media,Center,https://jewishinsider.com/,https://www.allsides.com/news-source/jewish-insider-media-bias
Jezebel,News Media,Left,https://jezebel.com/,https://www.allsides.com/news-source/jezebel-media-bias
JoeMyGod,News Media,Left,https://www.joemygod.com/,https://www.allsides.com/news-source/joemygod-media-bias
Journalist's Resource,News Media,Center,http://journalistsresource.org/,https://www.allsides.com/news-source/journalists-resource
JRL Charts,News Media,Left,https://www.jrlcharts.com,https://www.allsides.com/news-source/jrl-charts-media-bias
JSTOR Daily,News Media,Center,https://daily.jstor.org/,https://www.allsides.com/news-source/jstor-daily-media-bias
Jubilee Media,News Media,Center,https://www.jubileemedia.com/,https://www.allsides.com/news-source/jubilee-media-bias
Judicial Watch,News Media,Lean Right,http://www.judicialwatch.org,https://www.allsides.com/news-source/judicial-watch
Just Facts,Reference,Center,https://www.justfacts.com/,https://www.allsides.com/news-source/just-facts-media-bias
Just Security,News Media,Center,https://www.justsecurity.org/,https://www.allsides.com/news-source/just-security-media-bias
Just The News,News Media,Center,https://justthenews.com/,https://www.allsides.com/news-source/just-news-media-bias
Kaiser Family Foundation,Reference,Center,https://www.kff.org/,https://www.allsides.com/news-source/kaiser-family-foundation-media-bias
KALW.org,News Media,Center,https://www.kalw.org/,https://www.allsides.com/news-source/kalworg-media-bias
Kane County Chronicle,News Media,Center,https://www.shawlocal.com/kane-county-chronicle/,https://www.allsides.com/news-source/kane-county-chronicle-media-bias
Kansas Reflector,News Media,Left,https://kansasreflector.com/,https://www.allsides.com/news-source/kansas-reflector-media-bias
KARE11,News Media,Center,https://www.kare11.com/,https://www.allsides.com/news-source/kare11-media-bias
KARK 4 News,News Media,Lean Left,https://www.kark.com/,https://www.allsides.com/news-source/kark-4-news-media-bias
KATU,News Media,Center,https://katu.com/,https://www.allsides.com/news-source/katu-media-bias
Kearney Hub,News Media,Center,https://kearneyhub.com/,https://www.allsides.com/news-source/kearney-hub-media-bias
Keeping it Right,News Media,Right,http://keepingitright.blogspot.com/,https://www.allsides.com/news-source/keeping-it-right-media-bias
Kennebec Journal,News Media,Center,https://www.centralmaine.com/,https://www.allsides.com/news-source/kennebec-journal-media-bias
Kenosha News,News Media,Center,https://www.kenoshanews.com/,https://www.allsides.com/news-source/kenosha-news-media-bias
Kent County Daily Times,News Media,Center,https://www.ricentral.com/kent_county_daily_times/,https://www.allsides.com/news-source/kent-county-daily-times-media-bias
Kent Island Bay Times,News Media,Center,https://www.myeasternshoremd.com/qa/bay_times/,https://www.allsides.com/news-source/kent-island-bay-times-media-bias
Kentucky Gazette,News Media,Center,https://kentuckygazette.com/,https://www.allsides.com/news-source/kentucky-gazette-media-bias
Kialo,Dialogue & Debate,Mixed,https://www.kialo.com/,https://www.allsides.com/news-source/kialo-media-bias
Kilgore News Herald,News Media,Center,https://www.kilgorenewsherald.com/,https://www.allsides.com/news-source/kilgore-news-herald-media-bias
Kingsport Times-News,News Media,Center,https://www.timesnews.net/,https://www.allsides.com/news-source/kingsport-times-news-media-bias
Knoxville News Sentinel,News Media,Center,https://www.knoxnews.com/,https://www.allsides.com/news-source/knoxville-news-sentinel-media-bias
KNSI Radio,News Media,Center,https://knsiradio.com/,https://www.allsides.com/news-source/knsi-radio-media-bias
KQED,News Media,Center,http://KQED.org,https://www.allsides.com/news-source/kqed
KSL,News Media,Right,http://www.ksl.com/,https://www.allsides.com/news-source/ksl
KSTP,News Media,Center,https://kstp.com/,https://www.allsides.com/news-source/kstp-media-bias
KTOO,News Media,Center,https://www.ktoo.org/,https://www.allsides.com/news-source/ktoo-media-bias
KTTC News,News Media,Center,https://www.kttc.com/,https://www.allsides.com/news-source/kttc-news-media-bias
KVRR,News Media,Center,https://www.kvrr.com/,https://www.allsides.com/news-source/kvrr-media-bias
KWCH,News Media,Center,http://kwch.com,https://www.allsides.com/news-source/kwch-media-bias
La Crosse Tribune,News Media,Center,https://lacrossetribune.com/,https://www.allsides.com/news-source/la-crosse-tribune-media-bias
LA Sentinel,News Media,Left,https://lasentinel.net/,https://www.allsides.com/news-source/la-sentinel-media-bias
Laramie Boomerang,News Media,Center,https://www.wyomingnews.com/laramieboomerang/,https://www.allsides.com/news-source/laramie-boomerang-media-bias
Laredo Morning Times,News Media,Lean Left,https://www.lmtonline.com/,https://www.allsides.com/news-source/laredo-morning-times-media-bias
Las Cruces Sun-News,News Media,Center,https://www.lcsun-news.com/,https://www.allsides.com/news-source/las-cruces-sun-news-media-bias
Las Vegas Review-Journal,News Media,Center,https://www.reviewjournal.com/,https://www.allsides.com/news-source/las-vegas-review-journal-media-bias
Las Vegas Sun,News Media,Lean Left,http://lasvegassun.com/,https://www.allsides.com/news-source/las-vegas-sun
Latino Rebels,News Media,Left,https://www.latinorebels.com/,https://www.allsides.com/news-source/latino-rebels-media-bias
Law & Crime,News Media,Center,https://lawandcrime.com/,https://www.allsides.com/news-source/law-crime-media-bias
Lawfare,News Media,Center,https://www.lawfareblog.com/,https://www.allsides.com/news-source/lawfare-media-bias
Lawton Constitution,News Media,Center,https://www.swoknews.com/,https://www.allsides.com/news-source/lawton-constitution-media-bias
Lead Stories,Fact Check,Lean Left,https://leadstories.com/,https://www.allsides.com/news-source/lead-stories-media-bias
Leader-Telegram,News Media,Center,https://www.leadertelegram.com/,https://www.allsides.com/news-source/leader-telegram-media-bias
Leadership Now Project,Think Tank / Policy Group,Center,https://www.leadershipnowproject.org/,https://www.allsides.com/news-source/leadership-now-project-media-bias
Leafly,News Media,Left,https://www.leafly.com/,https://www.allsides.com/news-source/leafly-media-bias
Leesburg Today,News Media,Lean Right,http://www.leesburgtoday.com,https://www.allsides.com/news-source/leesburg-today
"Left, Right & Center ",Podcast,Mixed,https://www.kcrw.com/news/shows/left-right-center/show-tabs/about/tab-view,https://www.allsides.com/news-source/left-right-center-media-bias
Let's Find Common Ground ,Podcast,Mixed,https://commongroundcommittee.org/podcasts/,https://www.allsides.com/news-source/lets-find-common-ground-media-bias
Lewiston Tribune,News Media,Center,https://lmtribune.com/,https://www.allsides.com/news-source/lewiston-tribune-media-bias
Lexington Herald-Leader,News Media,Center,http://www.kentucky.com/,https://www.allsides.com/news-source/lexington-herald-leader
LGBTQ Nation,News Media,Left,https://www.lgbtqnation.com/,https://www.allsides.com/news-source/lgbtq-nation-media-bias
Life After Hate,Think Tank / Policy Group,Lean Left,https://www.lifeafterhate.org/,https://www.allsides.com/news-source/life-after-hate-media-bias
Lifehacker,News Media,Center,http://www.lifehacker.com/,https://www.allsides.com/news-source/lifehacker
Listen First Project,Dialogue & Debate,Mixed,http://www.listenfirstproject.org/,https://www.allsides.com/news-source/listen-first-project-media-bias
Live Action News,News Media,Lean Right,http://liveactionnews.org/,https://www.allsides.com/news-source/live-action-news
Live Science,News Media,Center,https://www.livescience.com/,https://www.allsides.com/news-source/live-science-media-bias
Living Lutheran,News Media,Center,https://www.livinglutheran.org/,https://www.allsides.com/news-source/living-lutheran-media-bias
Living Room Conversations,Dialogue & Debate,Mixed,http://www.livingroomconversations.org/,https://www.allsides.com/news-source/living-room-conversations
Log Cabin,News Media,Right,https://logcabin.org,https://www.allsides.com/news-source/log-cabin-media-bias
Logan Banner,News Media,Center,https://www.loganbanner.com/,https://www.allsides.com/news-source/logan-banner-media-bias
Long Beach Press-Telegram,News Media,Center,https://www.presstelegram.com/,https://www.allsides.com/news-source/long-beach-press-telegram-media-bias
Longmont Times-Call,News Media,Lean Left,http://www.timescall.com/,https://www.allsides.com/news-source/longmont-times-call
