ParticipantID,ratReligion,explainReligion,ratPolice,explainPolice,ratFirefighters,explainFirefighters,ratHealthcare,explainHealthcare,ratVoting,explainVoting,ratImmigration,explainImmigration,ratScience,explainScience,ratNews,explainNews
11890227,-5,"Religion is super negative for me because it isn't based on verifiable facts. It's just faith in something that can't be proven, which goes against reason. Religion has led to a lot of harm in our world as well. They often use fear and demonize others who have different worldviews as well.",1,"I tend to support the police since they help maintain law and order. I do think they sometimes abuse their power, though. With great power comes great responsibility, and I think police should be held accountable when they harm people.",5,"Firefighters help protect property and people. They care about their communities, and they just do the job. They are people that can be relied upon to help you when you need help.",5,"Healthcare is important because everyone gets sick at some point. I have a chronic disease that requires treatment and medicines, so I understand this more than many people. Society is better when everyone has access to proper healthcare.",5,Voting is an important part of being a good citizen. The only way we can get good representation in public life is to vote. Democracy relies upon people actually getting involved in the process.,3,I'm mostly positive about immigration because our society is a society of immigrants. And having a new influx of people brings new ideas and makes us stronger as a country and as a society.,5,"Science helps us understand reality and why things happen. This allows us to advance as a species and make the world a better place. Without science, we wouldn't have gotten as far as we have as a species.",3,"News is mostly positive, so long as you're talking about the reporting of information. Once you get into the opinion/op-ed territories, then news can become more of an amplifier for false or unverified claims. If people approach news with skepticism, then it can help you better understand the state of affairs in the world."
11890228,-4,"I feel pretty negatively toward religion because it personally does not resonate with me and I see and hear of people doing things I don't agree with because their religion prescribes it.  If it provides a sense of community, great, but if it it involves fear-mongering and hatred toward entire populations of people, it is not a good thing.",-3,"My feelings about police are that a certain type of person goes into that line of work and it's not a good kind of person.  People with a prediliction for power and violence are too often drawn to and accepted into the profession.  There are certainly good police officers out there, but I think there's a fundamental problem with policing (not ""a few bad apples"")",3,"I am on the positive side of neutral about firefighters.  I haven't had any personal interaction with them, but what they do is important and it seems they are generally helpful, especially considering many are volunteers.",1,"Like immigration, this word has a political tone.  When I think of healthcare, I think of corporate healthcare, health insurance, copays, things that will cost a lot of money.  But when I stop and think, it includes the practitioners in my life who help me stay healthy, and they're generally good people.",4,"Participating in democracy is important, but also feels stressful of late.  I am glad I have the opportunity to vote.",2,"I feel like the word has a negative connotation, but it is just a thing that happens all the time, all over the world.  I hope the US can be a place people strive to live and I hope there is a sensical pathway for that, especially in the case of asylum seekers.  I do not believe immigrants ""take jobs"" or ""steal benefits""  Everyone has to start somewhere.",5,Science does not feel politicized to me (maybe I'm not normal) and feels like empirical fact and truth.,-1,"The news generally stresses me out and I have to be mindful of how much news I consume about politics, climate change, and capitalism.  On the other hand, there is positive stuff in the news and I like to know what's going on locally."
11890229,1,"Religion often provides individuals with a sense of meaning and purpose in life. Many people turn to their faith to understand their place in the universe and the purpose of their existence. This search for meaning can instill hope and motivation, helping individuals navigate life’s challenges. I find this aspect of religion deeply valuable, as it offers a framework for understanding both the joys and struggles of life.",4,"Modern policing is increasingly focused on community engagement and building relationships with residents. Community policing initiatives foster trust, collaboration, and open dialogue between law enforcement and the communities they serve. When police officers actively engage with community members, they become more than just enforcers of the law; they become allies and partners in creating safer neighborhoods. I admire efforts that encourage police departments to prioritize community welfare and involvement.",-1,"Firefighters are often viewed as heroes in society. Their willingness to run into dangerous situations—specifically, towards flames and hazards that others flee from—demonstrates profound courage. This selflessness and bravery evoke a strong admiration in me. The notion that individuals dedicate their lives to protecting others, sometimes at great personal risk, embodies an inspiring level of commitment and heroism.",4,"Healthcare is not just about treating illness but is fundamentally about prevention and promoting overall well-being. Preventive care, such as vaccinations, routine screenings, and health education, plays a crucial role in reducing the incidence of diseases and improving public health. I appreciate the focus on preventive measures that help individuals maintain their health, which can lead to a better quality of life and reduce long-term healthcare costs.",3,"Voting is a cornerstone of democratic governance. It provides a mechanism through which citizens can express their opinions, influence decision-making, and have a say in who represents them and what policies are enacted. This fundamental right empowers individuals to participate in shaping their own governance, making it an essential element of a healthy democracy. I find it incredibly valuable that voting allows for representation and accountability within a system meant to serve the people.",0,"Immigration contributes significantly to cultural diversity and enrichment. When individuals from different backgrounds come together, they bring their traditions, languages, cuisines, and artistic expressions. This cultural interchange enhances the social fabric of communities and fosters greater understanding among people. I find it immensely valuable that immigration can lead to a more vibrant, dynamic society where diverse perspectives and experiences contribute to creativity and innovation in various fields, including arts, science, and business.",5,"Science represents the foundation of our understanding of the natural world. Through the scientific method—observation, experimentation, and validation—we gain insights into everything from the smallest particles to the vastness of the universe. This systematic approach to knowledge allows us to build on previous discoveries, creating a cumulative body of knowledge that advances our understanding of life, the universe, and everything in between. I find it exhilarating that science continually evolves, challenging and refining our understanding of reality.",2,"My emotions frequently originate from personal experiences that have influenced my comprehension of the concept. For example, if it concerns community, my feelings may arise from past encounters with belonging, support, or isolation in various communities throughout my life."
11890232,0,"I am on the fence regarding religion. I think the concept of it can be a good thing in regards to individual people feeling a sense of belonging and community and maybe finding meaning and purpose for themselves spiritually. However, I feel like a lot of the organized religion at this point seems to be causing a lot of harm and negativity and judgement for those outside of the religion, which doesn't mesh with why I feel like they should exist to begin with.",3,"The concept of police is a good thing for safety; however, some abuse this power that police have and shouldn't be able to.",5,I think firefighters are important to keep communities and people safe.,5,Healthcare is essential for the basic health of everyone and should be available to all.,5,I think the concept voting is extremely positive because it gives everyone a chance to have a voice and a say in who and how the country/state they live in is ran. I think that this is part of why the United States was formed to begin with and is something that is necessary for us to stay true to that.,4,"Overall, I think immigration is a good thing because it keeps our country culturally diverse, and we have always been kind of a mix of immigrants from the start. The only drawback would be at some point there may be risk of overpopulation, but I don't think that's something that is an immediate concern.",5,Science is extremely important and a positive thing because it is how we learn new things about ourselves and our world in a controlled and factual way.,2,"I think the concept of news is positive because it keeps people informed about important things going on in their community, state, country, and the world. However, news in itself is helpful only in moderation and can be overwhelming with so much being reported and hard to know what is accurate and what is relevant."
11890233,0,I am agnostic.  I don't know that I believe but Judeo Christian values are a good thing.,4,99.9% are great,4,braver than me,0,"I do NOT favor universal healthcare.  The ""poor"" already get free healthcare.",4,"Too many uninformed and willfully ignorant vote. Voting is something important, but should be earned.",-5,by immigration you mean illegals. I dont support criminals in any way,1,"science ""discovers"" what it is paid to discover.  That said everything we have is thru science",-2,its all biased one way or the other.. you have to do your own research
11890237,-2,People take it way too seriously and fail to think for themselves which can be very dangerous when a church is being lead by a creep,-5,"Although not all cops are bad, the ones that are make all cops suspicious and a cause for concern",5,"Their whole purpose is to help out the community, there is no negatives to firefighters.",-5,not affordable and corrupt business models,-5,There is no way to actually prove voting even matters or counts,-3,Depends on the circumstances of the immigration. The fact that one nation owns one nation is ridiculous considering it was here ebfore people even were so no one owns anything but at the same time we do not to keep dangerous people out of our communities that we build.,5,"Many good things come out of science that are used by healthcare, diet, all sorts of sutff",-5,"corrupt, dishonest"
11890239,5,"Overall, I feel that your love and faith in Christianity are deeply rooted in your experiences and values. They shape who you are and how you engage with the world, creating a meaningful and positive impact on your life and those around you.",5,"my feelings about the police are shaped by a combination of personal experiences, community dynamics, societal issues, and a desire for a system that prioritizes safety and justice for everyone. It's a complex and evolving perspective that reflects my values and the realities I observe.",5,"Overall, my feelings about firefighters are rooted in respect for their bravery, dedication to service, and the positive influence they have on the community.",-5,"Overall, my feelings about healthcare are rooted in a deep sense of frustration with a system that feels broken, unfair, and often focused on profit rather than the well-being of people. I believe we need a healthcare system that truly prioritizes access, equity, and compassionate care for everyone.",0,"Overall, my perspective on voting reflects a deep concern for maintaining the integrity of elections and a desire for a system that ensures every vote is counted fairly.",-5,"Overall, my perspective is shaped by a strong belief in the importance of following immigration laws and the potential consequences of allowing undocumented immigrants to remain in the country.",0,"Overall, my perspective on science reflects a desire to harmonize faith and reason, appreciating the contributions of both in understanding the world and our place in it.",-5,"Overall, my perspective is shaped by a strong belief that the news often fails to fulfill its role as a trustworthy source of information, leading to a deep-seated dislike and distrust in the media landscape."
11890240,5,Religion is the driving force of my life. ,3,Police help keep us safe. ,5,Firefighters help keep us safe. ,-1,Healthcare is expensive and complicated for the average person.,2,I think that voting is a positive way for me to bring about changes that I want to see.,-2,Immigration is out of control and in severe need of reform.,-3,"Science is often biased, skewed, and incorrect.",-4,Most news is biased and one-sided.
11890242,0,I am spirtual but am not religious.,2,I think the police are an important part of society that keeps order. ,2,I think firefighters are important part of society that has the safety of citizens in mind.,3,Healthcare is important that cannot be accessed by all citizens. ,2,I don't always feel like my vote matters.,0,"I think there should be a better system for immigration and keeping citizens safe from violent, illegal aliens. ",3,I think science is good. I think research for treatments for healthcare is much needed.,-2,I do not think the news gives accurate information. I feel like news channels try to influence citizens by the news they choose to give out. 
11890243,2,Everyone has a choice regarding religion but I think a lot of it is just brainwashing ,2,IT is a very difficult job and I think they do the best they can,5,Tough as they come and I have nothing but respect for all that do it for a living,-2,"The healthcare system is overpriced and crooked , they just want money and could care less about the actual patients needs",5,Everyone that is legally here and pays taxes should vote it is their right as a legal citizen and all voices matter ,-5,"We have a massive homeless problem in our country and they are overlooked and left to suffer and starve , but illegals come here and are handed everything from my tax dollars it is unacceptable",3,I think certain things are important,-3,Mostly fabricated and all lies to appease the woke and liberal idiots 
11890244,-4,there's too many bad things happening around religion,3,I think they have a lot of obstacles working against them. ,4, I think they benefit us more than anything,-1,I think there needs to be more funding for healthcare. It's becoming too much. ,-1,I feel that voting isn't always fair because I think most of the time it's rigged. ,-5,We need to stop taking care of illegal immigrants and take care of our own. If they weren't brought into the country legallly they should not recieve any help,5,"Because I feel science has done many good things for the world as far as medications, cures, advances in many day to day things. ",-4,I think they're caught up in politics and taking sides way too much. 
11890245,-5,"Not my thing, I think it's a giant cult ",2,I do believe they are their to protect us ,5,They are there to protext and serve the better good ,3,It's very well needed and deserved ,0,"Always have been on the fence about this, not sure if it truly matters. ",0,"I'm in the middle on this. I am fine with anyone coming here, so long as they are safe and they do it legally. ",5,I think there is a lot to learn from science ,-1,Sometimes they do not report the entire story or truth 
11890248,0,"I do not believe in a God.  I do believe that most people need something bigger than themselves to believe in to be happy and do the ""right"" and 'moral"" thing.  People need religion - just not all people.",5,Most police are there to help.  Some are not.  Some do not have compassion for homeless and mental health issues.  Most are there to help and do their best.,5,"I do not have one bad word to say about firefighters.  They save many lives.  Then again, some of them start the fires - so there you go.  ",3,We need healthcare.  To bad it has become corporate greed and not the care of the person.,4,I like that people can vote and make their voices heard.  I just do not like that a person can cheat at voting and I DO NOT like the electoral college.  It MUST BE disbanded.,5,We need diversity. Hell - EVERYONE is an immigrant.  Let's get real on this.  We are all people just trying to get through life with shelter and food for our families.,5,I am very glad we have so many scientic breakthroughs.  It is helpful in many ways.  Healthcare - preservation of species - climate control.,5,News is good when it is not just trying to scare you.  False news is much more prevelant and too many people believe it.  I think social media has caused a HUGH problem in the world today.
11890249,-5,Religion is tribalistic and antiquated. It pits people against one another and causes its followers to live in a fantasy world. ,-2,A lot of cops have a superiority complex and end up causing more harm than good when interacting with the public. ,5,Firefighters work for little pay and help keep their local townships and cities safe in cases of emergency. ,3,Healthcare lets society live a healthy and long life but it also is very expensive and not everyone can afford it causing a divide between economic classes. ,5,Voting gives everyone a say in the type of country they want to live in and feeds confidence that the country has everyone's goodwill in mind. ,3,"Immigration is good for cultural diversity, brain gain, and the growth of the population. It does have drawbacks such as illegal immigration and lack of assimilation. ",5,"Science encompasses the study of all things and has led to longer/healthier lives, modern technology, and better overall knowledge. ",3,News is more trustworthy than not and keeps the general public informed of issues and events. Sometimes the news can get things wrong or be biased which can lead to less trust in the platforms. 
11890251,-5,Organized religion is evil.,-4,Kill too many inncoent people.,5,I trust them completely.,-3,That it is something I do not like very much.,-3,Always same shit candidates.,5,Makes this country better.,2,Needs to be furthered.,1,"Mostly good, but mostly not good news."
11890253,3,It is a way to find meaning in the world.,3,They do a pretty thankless job with quite a bit of criticism.,4,Heroes,0,I see healthcare as a positive but health insurance as negative. The structures in which I receive healthcare do seem profit-motivated at times.,4,It is your right as a citizen to have your say in who represents you.,0,"I think immigration can be a good thing as it can add strengths of different cultures into American society. However, the incredible amount of illegal immigration that has occurred over the past several years is so harmful to our society in many areas.",4,Testing theories or postulates using the scientific method is key to advancements in so many different areas of society.,-2,Much of traditional news media leaves out pertinent information to frame stories in a way that benefits Democratic politicians and detracts from Republican politicians.
11890254,-3,Religion has made it's way into politics and it is causing a net negative on the world with suppressing rights and happiness.,-2,There has been a lot of police brutality in the country and some officers feel they are above the law.,5,"Nothing bad to say about firefighters, they are heroes.",-2,Healthcare costs are extremely high and most doctors only take a few minutes to care for you after waiting hours.,2,"I definitely want to vote, but sometimes I feel like with our current electoral college that our votes do not matter as much.",4,I think our country is a melting pot and it does not seem right to exclude people from entering.,5,I think Science is a factor in the world that needs to keep getting funding to help make society better.,-3,Most news channels are biased and it is hard to find a truthful statement now-adays.
11890255,5,"I respect my own Christian religion deeply. I have a huge belief in Jesus, and I know He is always there to protect me from any danger.",4,Police officers are really kind in this area. They do all they can to protect this community from any harm happening.,4,The firefighters in my community are some of the nicest people I have ever known. They take every emergency seriously when it comes to danger happening in the area.,4,"I trust all the doctors and nurses in my community. We have one of the best hospitals in this area, so we provide intensive care to all who live in this wonderful neighborhood.",2,"The voting process has gotten a lot easier in recent years. Now that we know who to vote for, we can easily do so online instead of through a lengthy paper process.",1,I don't trust every immigrant living here. This can still be a major problem depending on how each one behaves in this country.,2,Experiments have really evolved over the past year. Newer discoveries are being made every day that have been really amazing.,2,"The news has really improved recently. Even though it's not perfect and some stories can be bogus, reporters do really well explaining each situation."
11890256,1,"religion is an activity, a passtime, but also a political topic/issue",5,police enforce the laws,5,firefighters put out fires,2,"healthcare, itself, is good.  care for health.  but as a socio-political entity, it's more about profit and process.",5,voting is a fundamental part of democracy,0,"Neutral.  it's a process, but it is also a political issue.",5,"Science is study, knowledge, learning, process.",5,news keeps us informed.
11890257,2,Religion is important to keeping a structured government. ,1,"Most of the time they are good, you get some bad apples though. ",0,"Again, could be good or bad. Most of them are ok though ",-2,There needs to be better healthcare especially for those in middle class. ,1,"It can be good or bad, depending on the outcome and the fairness of people",0,"Depends on who the immigration is for, could be good or bad",-1,"Science can't prove everything, but it does help some cases. ",0,"Most of the time, I could care less about news. Some of its real, most fake. "
11890259,-5,"I am not a fan of organized religion.  I don't find comfort or peace in believing in a higher being, and I find that a lot of people who are very religious tend to be horrible people in many different ways, and they use their religion as an excuse for their actions.",-3,"I have been mistreated by the police in the past, and they were very rude and unintelligent in my dealings with them.  They do a bad job of trying to learn and understand situations, and instead just bust through doors and look for the easiest way to get whatever they want.",5,"Firefighters are an important part of our community.  They keep people safe and help our community with a multitude of problems, often at great risk to themselves.",0,"Healthcare is very important, but lately it has been so expensive and unattainable that I am torn about my feelings towards the current state of healthcare.",5,Voting is an important part of our country's democracy and one of the best ways for avergae citizens to ensure their voices get heard.,3,"Immigration brings a lot of great things to our country, such as new cultural experiences, great food, different perspectives, and more.",5,"Science is important for us to understand the world as it was and as it is, and it helps us understand how the world might be in the future and what we can do to improve things.",-2,"News is important, but in recent years there has been a lot of misinformation and disinformation spread through major news outlets that has caused a lot of problems for our country."
11890260,-5,"I'm very spiritual and have a relationship with God and the universe. Religion is all about fear, lies, sex, money, power and control.",3,Most police officers are doing their best. We just hear mostly about some that have done inappropriate things.,5,They are heroes and should be treated with respect.,-5,"I was almost killed when a nurse almost injected me with another person's 2 medications. I feel that healthcare is a business and they want people sick, patients for life instead of curing them, like all the cancer cures have been supressed over the years.",-5,There's too many ways to cheat in today's system so it's very negative.,-1,"I want to be open to immigration but I've watched a lot of negative come from it. My husband, as a school counselor has 8 new immigrants who don't speak any English, are unwilling to learn and they have the most expensive cell phones and clothes supplied by our taxes. Yet, many Americans are so poor :(",-1,Scientists are mostly owned by the elite and their research is not trustworthy since they've been bought out. There are cures for cancer and all diseases (I've cured many friends of breast cancer with these cures so I know they work) but many cures are hidden or seen as conspiracy theories :( Not true--proven!!,-5,It's almost all doom and gloom and it's filled with lies as well. Most stations are owned by the elite who have their own agenda.
11890261,3,There are many postitive aspects of religion.  It can help guide and teach people lessons about morality and intelligence. ,2,they help protect our society,3,It's important that we take care of the infrastructure our country builds. ,-3,"our country's health care isn't very good. overpaid, underqualified and ulteriorly influenced are some ways to describe certain aspects of our health care system but do not accurately describe every situation",5,It's important that all of our legal citizens reserve the right to cast their votes,-3,"Even though there are benefits of increasing our population and work force, there are major consequences to allowing criminal organizations into our country. they will dilute our voting power and seek to gain influence over our established democracy and our original beliefs. ",5,Science seeks to make the explanation of our experiences with accurate and recallable answers. ,0,biased but sometimes informative 
11890262,-2,"I am biased here but I feel like religion in this country is too often used to promote hate, discrimination and overall unkindness towards people. I know that is not the original intention of religion.",1,"Police, when they are trained and behave appropriately, are important to society. We need to feel safe and have someone to call when things are unsafe.",3,Firefighters save lives. It is important to have them for when fires and other major disasters occur,-2,health insurance in this country is expensive and overly complicated. its hard to deal with,2,"Voting is a pain, but it's also a civil right that those who are able to should take advantage of. ",1,"Immigration is a good thing in general, as it permits diversity and that is a major positive of America. However, it's important that we dont take in more immigrants than we can provide for. ",4,Science is crucial as it explains many truths that we deal with in society. I believe in science. ,3,News is important. Its key for people to know whats going on locally and around the world.
11890265,2,"I think religion is a net positive, but it has a very checkered history as an institution. Far too many people have been persecuted and attacked for religious reasons, and too many wars have been fought over religion.",2,"I do think the police serve a public good and most are conscientious about their job. However, in the political realm, I believe the average police professional is much more conservative and right wing than I am, and I don't think they always divorce their political views from what they do on the job.",4,"I think firefighters are generally courageous people who are dedicating their work life to the wellbeing of others. Politically, they tend to come closer to my beliefs and are usually a unionized workforce.",4,"I do believe in general our healthcare system is good, but various parts of it involving funding have serious problems that need to be fixed.",5,I think voting is the most important thing I can do as a citizen of my country.,4,Increased legal immigration is the key to economic prosperity in the future. Our natural growth in population is far too little to maintain economic growth.,4,There are far too many things we take for granted that exist because of science for science to be a negative. I only think some scientists are a little too didactic at times and can occasionally not have an eye on the societal impact of their work.,3,"I am generally satisfied with the news I consume. However, I think reporting could be a bit more aggressive than it seems to be most of the time."
11890269,3,"One of the most significant aspects of religion is its ability to foster a sense of community. Many religions create networks of support, where individuals can connect with others who share similar beliefs, values, and traditions. This sense of belonging is vital for many people, providing social support, friendship, and a shared sense of purpose.",4,"Law Enforcement: The primary role of police is to enforce laws, maintain public order, and prevent crime. They are expected to uphold the law impartially and protect citizens’ rights.
Community Support: Many police departments engage in community policing, a strategy that emphasizes building relationships and partnerships with community members to enhance public safety and trust.",3,"Firefighters consistently demonstrate remarkable bravery. They face life-threatening situations daily to protect lives and property. Their willingness to run into dangerous environments, such as burning buildings, showcases a profound commitment to public service. This level of courage is admirable and speaks to a strong ethical framework founded on the values of sacrifice and helping others.",5,"Healthcare System: The healthcare system includes all organizations, people, and actions involved in delivering healthcare services. It can range from hospitals and clinics to pharmacies and community health programs.
Importance: Effective healthcare is crucial for improving quality of life, increasing life expectancy, and ensuring that individuals can lead healthy, productive lives.",3,"Voting is a fundamental mechanism through which democratic governance functions. It empowers citizens to have a voice in the political process, which is essential for representative democracy. By participating in elections, individuals can choose leaders and influence policies that affect their lives, fostering a sense of agency and involvement in governance.",-3,"One of the primary concerns associated with immigration is its potential impact on the job market. Critics argue that an influx of immigrants can result in increased competition for jobs, particularly in lower-skilled sectors. This can lead to wage suppression and job displacement for native workers, particularly those already facing economic challenges. There are fears that immigration policies might prioritize foreign workers over domestic labor, exacerbating job insecurity.",5,"Science emphasizes an evidence-based approach to understanding reality, which I deeply appreciate. The scientific method relies on observation, experimentation, and reproducibility, allowing us to build a robust framework for understanding the natural world. This approach instills a sense of reliability and trust in the conclusions we draw about our environment. I value this because it helps to distinguish between beliefs and empirical facts, fostering a culture where misinformation can be challenged and clarified through careful investigation.",5,"Hard News: These stories are urgent and factual, often covering significant topics such as politics, crime, and natural disasters.
Soft News: These focus on lighter or more entertainment-oriented subjects, including lifestyle, culture, and human interest stories.
Breaking News: This refers to ongoing events that are developing and require immediate reporting, such as disasters or major political events.
Investigative Journalism: Involves in-depth reporting to uncover hidden information, often related to corruption, fraud, or public interest issues."
11890271,-3,I feel this way because religion is a problem. God is not.,3,I feel this way because even though they treat me fairly they don't treat everyone that way.,5,"I feel this way because they make me feel safe, and they are friendly.",2,I feel this way because we need healthcare it's just overly expensive.,-4,I don't feel like it matters who we vote for. So far no one has done anything amazing for the country.,2,I think everyone deserves a fair chance at a good life,1,I like science but I feel some of the data is a little off.,-5,I feel this way because 99% of what is on the news is a lie.
11890272,3,Religion is a personal thing.  I have mixed feelings about religion.  It is not something I think is up to the person to decide how they prefer to worship.  Too many bad things are done in the name of religion.,4,"Another very dangerous and unappreciated job.  I know there are a few bad apples, but I think most police are dedicated to the community they serve.",5,"Extremely dangerous and a career, not just a job.  It is a committment to the community and these people are true heroes.",5,"In recent years I have needed some significant healthcare including hospital, surgery, and inpatient physical therapy.  The staff in each instance was caring and compassionate and very capable.  ",5,"Voting is a right.  That being said, voters should educate themselves and do their research rather than voting the way a celebrity says, the media tells them, or how their family votes.",-5,I am rating this as extremely negative because of all the illegal immigration that is not only allowed but facilitated by the current administration.  Immigration should be controlled and monitored.,3,Science is a necessary and highly necessary part of our daily lives.  I think that people should not always take what scientists say as absolute.,3,Mainstream media is not news anymore.  It is editorial and lies by omission or just outright perpetrates falsehood.  Some of the cable networks try to report more accurately.  I don't have a ton of faith in either.
11890273,1,Some religion gives people hope and motivation but some religions are cultish and cause more problems than good.,5,Police are helpful and available for all types of issues that require lawful intervention and they protect and keep us safe.,5,They provide protection against fire and also assist with medical emergencies and accidents.  They save lives.,5,We have a good system in place to tream illness and pain and plenty of resources willing to help us live our best life.,5,This gives everyone a voice and a choice for who they feel will help the country the best.,-2,"Legal immigration is great, but there is also a lot  of illegal entry into the country that should be stopped.",5,"Science is a great benefit to everyone, finding things from cures of illnesses to ways of doing things better.  ",4,Most of the news is accurate and reliable.  It fills in gaps where I am not aware of events that took place.
11890274,5,Religion is important it teaches us to be better people to love each other and to help others who have a lot of  problems,3,There are a lot of good police out there that put their lives on the line to make sure we are safe from people who are not and so many lose their lives over things that should not happening ,5,They put their lives on the line in most cases and do try to help people that have problems when they are called up on ,5,I think healthcare is a very important part of everybody they are there to help with the sick and try to understand ho they can help you.They have done new studies to find new ways to helps others ,5,Voting gives us a chance to change the way things are done and to get rid of bad government that can cause a lot of problems for other.It is a choice that you have your voice heard ,-2,"I think that if you are an immigrate you need to go through the channels to get your citizenship and do it the right way, if not then that person should be deported and try again the right way ",5,"Without science, we would not be where we are today . Through science we have learned to make people healthier and fight a lot of cancers some are controllable some not. There is so many cures that they have found.Plus with Science we learn more about other animals and the world ",2,I believe that some news is honest an show the truth to people but some will change the story  for their one gain 
11890275,1,I don't have a opinion either way,-2,"Most police officers have a psychological  problem that they don't need to be on the force, but yet they somehow still are",1,They doing their job and that's a good thing,-2,The healthcare system is probably one of the most problematic and corrupt businesses in the US,2,Everybody needs to vote. It's part of our democracy and country.,2,America is based on immigrants and that's how I feel about it,5,I believe we need science to progress as a race,1,90% of the things you see on the news or lies or the stretch truth
11890276,1,Depends on the pratice. Christians talking about love is good. Muslims whining about Jews living in places they consider Muslims only lands stinks. ,-2,Only if watched carefully to prevent abuse. ,1,They do a great job. ,0,It sometimes work and sometimes does not,1,It's okay but it could be better. I don't think my vote matters much,-5,It's a lousy idea. NYC is spending billions on illegals. We have no idea who they are. Send them home and be done with it! ,2,Science is great. We should fund it more. ,1,Sometimes useful and sometimes inaccurate. 
11890277,0,I am not very religious ,3,"I have never had a bad experience with police.  That being said, I am a white male. ",5,I am glad that firefighters are there to help people.,4,I am glad that I have access to Healthcare.  I wish it was not so expensive.,5,I am glad I live in a country that allows for free elections. ,3,I am all in favor for legal immigration.  I think something has to be done to control illegal immigration. ,5,I am certainly on Team Science. ,2,I generally trust the mainstream media.
11890279,-2,I think religion generally serves to divide people.,-2,I think police generally serve a net good but too many officers abuse their power.,3,Firefighters are typically great first responders.,4,The system needs to provide more financial support but conceptually healthcare for everyone is a great idea.,3,"Exercising the right to democracy is important, but not everyone's vote matters as much as someone else's.",1,I think immigration should be allowed but I don't feel strongly about it one way or the other.,5,Learning is everything and everyone should work to be more informed and look at research.,-1,"I think freedom of information is important, but a lot of news is skewed in one direction."
11890282,-2,"Religion is good, organized religion can be used as a force for evil.",-4,Police as an instution is good but it is easily corruptible and police officers do not face consequences for their actions.,4,have you ever seen a news report on a corrupt firefighter stealing or beating someone up?,-2,Too based in capitalism to care about patients much anymore,5,Everyone should vote. It is the cornerstone of democracy,3,We should help all people in the world not just americans,5,science is fact. You can not argue with facts.,-2,I feel like all news sites from both sides are providing more bias and more sensationalism rather than reporting on facts
11890284,-5,I'm not religious at all. I don't see any redeeming qualitites in religion and wish that people were more logical and rational and less religious. ,3,We need police. I think there are discussions to be had about excessive force and bd policing but I don't think that the majority of police are bad people. I hope in the future we provide more training for law enforcement.,5,I haven't heard many stories of firefighters who have violated the public's trust. I have heard of a few firefighters who were also arsonists but they are a small percentage of all firefighters. A lot of firefighters are also EMTs and paramedics so that contributes to my positive image of them.,2,I'm glad that we have healthcare options and I am grateful for healthcare providers. I think the science of medicine and healthcare is interesting and worthwhile. I can not afford healthcare so I am not very positive about our healthcare system. I don't feel that I am a part of this system.,5,I'm thankful for the right to vote.,4,We are a nation of immigrants. I feel that our diversity is a strength. I have known many immigrants who have made a positive impact on the US.,5,I love science. I think it is interesting and extremely valuable to humanity and our progress. ,1,I trust some news sources. I think that the invention of the 24-hour news cycle has been detrimental to our society. It has created an angry and fearful segment of our population that is undermining democracy.
11890285,-4,Organized religion tends to have a cult like behavior that numbs the mind and stunts critical thinking.  ,-4,"Police are much too involved in scandals, racism, unfair treatment and violence to bother having around.  When is the last time you wanted to be around police?",5,First responders like firefighters and medics are required to help a civilized society deal with emergencies.,5,Everyone should have access to universal healthcare.  A society relies on its population to be healthy from the ground up in order to advance itself.  ,5,"The more access people have to voting, the better.  The more people who vote, the better.  This is how a society determines who will be leading the way.  Everyone should have a voice in the matter.",4,"The more diverstity, talent, skillsets and experience we can bring into the country, the better.",5,Science is how we understand the world around us and advance society.  Everyone is surrounded by science every day.  All the technological advancements we enjoy come from science.  Health care is science.  Everything is science. ,3,News is a positive thing as long as it can be sourced from multiple places.  This is how a society stays informed about the world around them.  
11890286,-1,It doesn't really mesh well with me and I just dont think it is for me,-3,"Due to systematic racism, I am always afraid of becoming a hashtag",4,They seem like really good people who actually care and are often overshadowed by the police,-2,Very expensive and somehow burdens familites fir with the outrageous costs oftreatment,3,"WE live in a demoracy so it is important
",2,Again this is a concept that dies not really bother me in te slightest. I don't care,4,"Advances society and is in constant motion of learning things
",-1,"I don't really care that much
"
11890287,3,"everyone has some form of ""religion"" whether they admit/realize it or not",3,necessary for most but not all.,3,also great to have! most people panic in events such as a fire,3,"great thing to have! terrible to force it upon folks, and even worse to force others to provide it",3,voting is a good thing - if it is free and fair,-5,"too much, too quickly - it is all a matter of scale, and we as a country have shot ourselves in the face with this one.",5,"science is the study of all things - knowledge is power. wisdom is the knowledge of that which does not change, intelligence is the ability to navigate them as they do - science helps with this.",0,"depends on the news - it i information i seek, not ""how to feel"""
11890289,3,I feel positive towards religion as religion helps us build our faith in christ and also serves as our moral compass,4,I am positive about the police as the society mis more safer with them and more citizen have a force to call up when faced with any danger,3,I am as well positive with firefighters in their help to secure lives and properties in case of any fire outbreak ,5,I feel extremely positive about healthcare with the amount of lives been saved on a daily basis ,3,Voting helps me as a citizen to be involved in nation building and also elect the right leader into power,1,I have a mixed feeling towards immigration as it has it positives and also its shortcomings,4,"With science life is becoming easier, problems are been solved, production is on the rise with the help of science and mainly lives are been saved with science which is a big positive for the society",4,Information is key which is why news is always key staying up to date on happenings is an important aspect a man needs therefore i am positive about news
